0	474	582
120	466	583
221	469	585
304	486	590
389	499	584
487	525	559
570	543	537
669	592	531
771	551	471
887	504	438
986	429	442
1087	414	358
1167	409	288
1287	401	210
1355	419	166
1421	439	126
1520	449	109
1620	442	92
1720	429	91
1805	406	82
1873	401	81
1985	404	87
2087	434	92
2155	421	105
2238	407	114
2336	410	124
2418	384	128
2537	457	117
2620	533	124
2684	579	128
2764	618	130
2850	645	132
2970	668	124
3053	689	124
3118	707	127
3200	716	130
3287	723	136
3370	732	125
3424	737	128
3477	698	111
3552	670	98
3618	691	109
3718	658	169
3787	684	255
3883	696	321
3970	709	367
4063	711	425
4150	722	471
4220	731	508
4316	767	534
4404	779	541
4519	745	543
4620	723	555
4720	724	573
4820	731	582
4897	737	594
4987	739	602
5087	773	618
5186	755	627
5287	772	637
5389	758	635
5487	773	626
5586	762	614
5686	757	594
5786	781	594
5887	767	585
5987	755	573
6056	783	572
6122	775	565
6188	801	568
6255	792	570
6370	792	536
6454	727	507
6518	708	500
6586	706	484
6653	725	489
6733	729	493
6820	733	508
6902	748	518
7000	774	524
7088	779	526
7187	786	528
7269	790	537
7323	793	548
7416	795	536
7500	797	536
7568	765	537
7637	763	548
7702	766	559
7768	754	549
7850	770	543
7933	795	544
8003	783	556
8069	757	562
8136	737	573
8202	735	588
8303	702	591
8420	682	590
8602	639	597
8687	633	617
8786	600	614
8870	579	617
8969	539	619
9050	503	606
9170	489	601
9254	471	600
9320	432	593
9402	416	581
9487	394	574
9582	398	558
9670	400	546
9782	392	555
9869	399	553
9931	403	546
10013	438	538
10100	460	531
10216	473	527
10286	489	528
10370	491	523
10449	490	508
10536	497	500
10620	492	500
10703	474	500
10787	476	485
10869	477	467
10951	450	389
11033	394	332
11103	382	275
11169	348	207
11236	325	160
11320	304	119
11420	305	103
11519	293	80
11636	321	83
11723	311	89
11819	391	91
11904	403	119
12020	423	190
12120	435	273
12220	431	361
12319	431	433
12370	428	492
12470	440	541
12568	510	583
12638	571	618
12737	635	642
12854	666	651
12952	710	657
13070	736	670
13153	740	685
13218	753	686
13286	753	679
13368	779	679
13450	776	680
13547	792	682
13636	776	670
13719	778	660
13819	775	673
13941	771	654
14018	767	655
14086	757	649
14153	758	643
14235	735	527
14316	713	424
14386	688	337
14483	657	263
14570	641	201
14666	642	132
14750	659	73
14820	654	48
14936	666	32
15037	645	17
